lam1,lal1,puh1,lah1,puh2,lam2,lah2,pum1,lal2,lul1,lul2,lum2,lum1,luh2,luh1,toh2,tom2,tol1,yuh2,yum1,yum2,pul1,yul2,yuh1,yul1,toh1,tom1,pul2,pum2,tol2,otuid,lineage
0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU1124,r__  root;p__  Arthropoda;c__  Insecta
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,OTU1125,r__  root;p__  Arthropoda;c__  Insecta
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU1126,r__  root;p__  Arthropoda;c__  Insecta
0,0,0,2390,0,188,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,OTU113,r__  root;p__  Arthropoda;c__  Insecta
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,OTU1130,r__  root;p__  Arthropoda;c__  Insecta;o__  Hymenoptera;f__  Ichneumonidae
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,OTU1135,r__  root;p__  Arthropoda;c__  Insecta
970,0,0,0,0,1750,0,0,0,0,2894,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU114,r__  root;p__  Arthropoda;c__  Insecta;o__  Lepidoptera
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,OTU1140,r__  root;p__  Arthropoda;c__  Insecta
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,OTU1143,r__  root;p__  Arthropoda;c__  Insecta;o__  Lepidoptera
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,OTU1146,r__  root;p__  Arthropoda;c__  Insecta
0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU1149,r__  root;p__  Arthropoda;c__  Insecta;o__  Hymenoptera;f__  Ichneumonidae
0,2076,0,0,0,2103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU115,r__  root;p__  Arthropoda;c__  Insecta
0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU1150,r__  root;p__  Arthropoda;c__  Insecta
0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU1151,r__  root;p__  Arthropoda;c__  Insecta
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,OTU1154,r__  root;p__  Arthropoda;c__  Insecta
0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU1155,r__  root;p__  Arthropoda;c__  Insecta;o__  Diptera
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,OTU1156,r__  root;p__  Arthropoda;c__  Arachnida;o__  Araneae
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,OTU1157,r__  root;p__  Arthropoda;c__  Insecta
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,OTU1158,r__  root;p__  Arthropoda;c__  Insecta;o__  Diptera;f__  Pipunculidae;g__  Chalarus;s__  Chalarus immanis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1745,0,0,0,0,0,0,0,0,OTU116,r__  root;p__  Arthropoda;c__  Insecta;o__  Lepidoptera
0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTU1161,r__  root;p__  Arthropoda;c__  Insecta;o__  Lepidoptera
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,OTU1162,r__  root;p__  Arthropoda;c__  Insecta;o__  Coleoptera;f__  Curculionidae;g__  Sipalinus;s__  Sipalinus gigas
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,OTU1163,r__  root;p__  Arthropoda;c__  Insecta;o__  Lepidoptera
